,index,category,answer,question
0,55,bodies of water,"bordering on mich. & n.y., these 2 great lakes are the only ones to border on 1 state each",Lake Huron & Lake Ontario
1,134,geography,"once called ""el-khela"", the emptiness, it covers about 1/3 of africa",Sahara
2,135,geography,"though only about 16,000 sq. mi., this european country has over 5000 mi. of canals & navigable rivers",the Netherlands
3,136,geography,"of tahiti, samoa, or guam, the one not in the western hemisphere",Guam
4,137,geography,1 of 2 rivers that join at pittsburgh to form the ohio river,(1 of) Allegheny (or Monongahela)
5,138,geography,this mountainous coastal country is south america's 3rd largest in area,Peru
6,232,landmarks,the library of congress was originally housed in this building,Capitol
7,379,state capitals,this mormon-founded capital lies at the foot of the westernmost range of the rocky mountains,Salt Lake City
8,380,state capitals,"it's the capital of the least populated state, wyoming",Cheyenne
9,381,state capitals,"only confederate state capital east of the mississippi that union troops did not capture was this, florida's",Tallahassee
10,382,state capitals,2 of the 4 capitals that begin with the same letter as their state,"2 of (Honolulu, Oklahoma City, Dover and Indianapolis)"
11,383,state capitals,"due to its classical-style architecture, this capital is called ""the athens of the south\""",Nashville
12,921,state flags,"ship accessory pictured on flag of wisconsin & rhode island, it's also found on popeye's arm",anchor
13,922,state flags,this state's flag has the letters d-a-n-e-v-a around a star,Nevada
14,923,state flags,"along with the north star, this star group appears on the alaska state flag",the Big Dipper
15,924,state flags,"one of the few flags to have a bird other than an eagle on it, this southern state's has a pelican",Louisiana
16,925,state flags,it's the reason the flag of ohio has 17 stars on it,it's the 17th state
17,1006,state postal abbreviations,"in 1963, the p.o. established standard state postal abbreviations, each with this # of letters",2
18,1007,state postal abbreviations,"it's the ""friendly"" postal abbreviation for the aloha state",HI
19,1008,state postal abbreviations,"the only state whose postal abbreviation has a ""z"" in it",Arizona (AZ)
20,1009,state postal abbreviations,this state's postal abbreviation is alphabetically last,Wyoming (WY)
21,1010,state postal abbreviations,"3 of the 4 states which have a ""k"" in their postal abbreviations","Alaska (AK), Kansas (KS) & Kentucky (KY)"
22,1349,landmarks,"slated for demolition, it held 2 madmen, 4 forgers & a nobleman when the mob came for its gunpowder",The Bastille
23,1490,volcanoes,magma that reaches the earth's surface is called this,Lava
24,1491,volcanoes,the word volcano comes from the name of this roman god of fire,Vulcan
25,1492,volcanoes,"of the world's active volcanoes, about 60% are along the perimeter of this ocean",Pacific
26,1493,volcanoes,57 people died when this volcano in the cascade range erupted in 1980,Mount St. Helens
27,1494,volcanoes,this island nation has more than 100 active volcanoes including krakatoa,Indonesia
28,1566,state capitals,the first white house of the confederacy stands on washington st. in this alabama city,Montgomery
29,1567,state capitals,this capital lies on an isthmus between lakes monona & mendota 76 miles west of milwaukee,"Madison, Wisconsin"
30,1568,state capitals,"patrick henry gave his ""liberty or death"" oration at st. john's church in this city",Richmond
31,1569,state capitals,"state whose capital was named after the village of lansing, n.y.",Michigan
32,1570,state capitals,three mile island is located 10 miles south of this state capital,"Harrisburg, Pennsylvania"
33,1606,weather gear,"to avoid the sun's glare at the beach, wear these tinted accessories",sunglasses
34,1607,weather gear,protective device the french call un parapluie & the british call a brolly,an umbrella
35,1608,weather gear,a small cylinder of fur or cloth into which the hands are inserted for warmth,Muff
36,1609,weather gear,"a raincoat, often yellow, named for its glossy appearance",a slicker
37,1610,weather gear,a soft eskimo boot made of reindeer or seal skin,a mukluk
38,1647,landmarks,"passages from the koran decorate the outside of this marble tomb at agra, india",the Taj Mahal
39,1648,landmarks,"by flooding the arena, this largest roman amphitheater could be used for mock naval battles",the Colosseum
40,1649,landmarks,"some believe this megalithic monument near salisbury, eng. was an astronomical observatory",Stonehenge
41,1650,landmarks,industrial pollution threatens the remains of this temple built on the acropolis to honor athena,the Parthenon
42,1651,landmarks,stronghold in baltimore harbor named for a man who was secretary of war while it was being built,Fort McHenry
43,1697,islands,"in 1954, after 63 years, the immigrant station on this island in new york harbor was closed",Ellis Island
44,1698,islands,over 500 bison live in the bison refuge on antelope island in this utah lake,the Great Salt Lake
45,1699,islands,qeshm & bahrain are the largest inhabited islands in this gulf,the Persian Gulf
46,1700,islands,"royale, joseph & devil's islands make up the safety islands owned by this country",France
47,1701,islands,"stewart island, south of south island, is this island country's third largest",New Zealand
48,1708,landmarks,this famous massachusetts rock is engraved with the date 1620,Plymouth Rock
49,1709,landmarks,"new geological evidence suggests this giza, egypt statue may be twice as old as previously thought",The Sphinx
50,1710,landmarks,lakehurst naval air station in this state was the site of the hindenburg explosion,New Jersey
51,1711,landmarks,"his washington, d.c. memorial was dedicated april 13, 1943, the 200th anniversary of his birth",Thomas Jefferson
52,1712,landmarks,this french engineer designed the interior support tower for the statue of liberty,Eiffel
53,1788,rivers,the ottawa river drains grand lake victoria & the river drains lake victoria,the Nile
54,1789,rivers,it's been called the chief waterway of the soviet union,the Volga River
55,1790,rivers,"in 1896 gold was discovered along the klondike, a tributary of this nearly 2,000-mile-long river",the Yukon River
56,1791,rivers,until 1990 the elbe river formed part of the border between these 2 countries,East & West Germany
